id,title,start,end,category,labels,rank,local_rank,phq_attendance,location,duration,place_hierarchies,updated
EW7xioFJa6jmf3ud6Z,Minnesota Renaissance Festival,2025-08-16T14:00:00Z,2025-09-29T00:00:00Z,festivals,,100,100,300000.0,[-93.60441494  44.74034486],3751200,"[array(['6295630', '6255149', '6252001', '5037779', '5046749', '5035849',
        '5037304'], dtype=object)                                        ]",2025-08-10T03:33:39Z
44yPxDo4Ri4CkK4Qiv,Purchase a 2025 Suite/Skybox  Multiple Dates,2025-08-19T04:00:00Z,2025-09-11T03:59:59Z,sports,,0,0,,[-77.0081948  37.4874246],1987199,"[array(['6295630', '6255149', '6252001', '6254928', '4775834', '4751037'],
       dtype=object)
 array(['6295630', '6255149', '6252001', '6254928', '4775834', '4829274'],
       dtype=object)                                                      ]",2025-09-11T05:01:23Z
8AfBuWpMpKM8RmgjWg,Perspectives: Georgia Pottery,2025-08-22T04:00:00Z,2025-09-08T03:59:59Z,festivals,,70,100,10000.0,[-83.40657613  33.86501483],1468799,"[array(['6295630', '6255149', '6252001', '4197000', '4213838', '4229691'],
       dtype=object)                                                      ]",2025-11-18T14:14:36Z
4hFNRLBe2JUT6ER7qU,Oktoberfest at Six Flags Great Escape Resort,2025-08-23T04:00:00Z,2025-09-22T03:59:59Z,festivals,,80,100,32000.0,[-73.69121718  43.35077555],2591999,"[array(['6295630', '6255149', '6252001', '5128638', '5143268', '5133282',
        '5130497'], dtype=object)
 array(['6295630', '6255149', '6252001', '5128638', '5143268', '5133282',
        '5133279'], dtype=object)                                        ]",2025-03-25T04:02:44Z
8hZQwtk6nujBrnkqzz,Youth Basketball - KB Sports Fall league (Augusta),2025-08-23T04:00:00Z,2025-10-19T03:59:59Z,sports,,46,73,612.0,[-82.0576963  33.5062214],4924799,"[array(['6295630', '6255149', '6252001', '4197000', '4218744', '4184435'],
       dtype=object)
 array(['6295630', '6255149', '6252001', '4197000', '4218744', '4180531'],
       dtype=object)                                                      ]",2025-10-28T03:48:50Z
99hjuFccjR624u8YKx,The Pittsburgh Renaissance Festival,2025-08-23T04:00:00Z,2025-09-29T03:59:59Z,festivals,,90,100,100000.0,[-79.69662879  40.18378298],3196799,"[array(['6295630', '6255149', '6252001', '6254927', '5219013', '5213076',
        '5200784'], dtype=object)
 array(['6295630', '6255149', '6252001', '6254927', '5219013', '5192014',
        '5192029'], dtype=object)                                        ]",2025-11-05T03:29:10Z
9TcrbzA22YHo9HSBnq,Maryland Renaissance Festival,2025-08-23T04:00:00Z,2025-10-20T03:59:59Z,festivals,,100,100,325000.0,[-76.58266542  39.00193241],5011199,"[array(['6295630', '6255149', '6252001', '4361885', '4347283', '7228931'],
       dtype=object)
 array(['6295630', '6255149', '6252001', '4361885', '4347283', '4347242'],
       dtype=object)                                                      ]",2025-07-20T02:47:47Z
ChcuAN6BtUdd5gCiYR,Youth Basketball - KB Sports Fall league (Augusta),2025-08-23T04:00:00Z,2025-10-19T03:59:59Z,sports,,46,73,612.0,[-82.0123356  33.5101542],4924799,"[array(['6295630', '6255149', '6252001', '4197000', '4218744', '4196579'],
       dtype=object)
 array(['6295630', '6255149', '6252001', '4197000', '4218744', '4180531'],
       dtype=object)                                                      ]",2025-10-27T23:40:47Z
hUPzReC5BYKCTHr8HL,Moab Music Festival,2025-08-27T06:00:00Z,2025-09-13T05:30:00Z,festivals,,58,88,2500.0,[-109.5477362   38.5735825],1467000,"[array(['6295630', '6255149', '6252001', '5549030', '5539784', '5543307'],
       dtype=object)                                                      ]",2025-07-21T00:56:40Z
9QTTLsCmycsDUmfPgd,Epcot International Food & Wine Festival,2025-08-28T04:00:00Z,2025-10-11T03:59:59Z,festivals,,100,100,1000000.0,[-81.54738464  28.37134273],3801599,"[array(['6295630', '6255149', '6252001', '4155751', '4167060', '4146844'],
       dtype=object)
 array(['6295630', '6255149', '6252001', '4155751', '4167060', '4149265'],
       dtype=object)
 array(['6295630', '6255149', '6252001', '4155751', '4167060', '4161168'],
       dtype=object)                                                      ]",2025-07-09T03:33:18Z
4fzJ9K9MQbipihurm7,Halloween Horror Nights,2025-08-29T04:00:00Z,2025-11-03T04:59:59Z,festivals,,100,100,600000.0,[-81.46787657  28.47334054],5705999,"[array(['6295630', '6255149', '6252001', '4155751', '4167060', '4161179'],
       dtype=object)
 array(['6295630', '6255149', '6252001', '4155751', '4167060', '4167147'],
       dtype=object)                                                      ]",2025-04-13T21:59:30Z
8zgDhfaNkCb6ZkJE3q,Pawtucket Arts Festival,2025-08-29T04:00:00Z,2025-09-08T03:59:59Z,festivals,,76,92,20000.0,[-71.3830106   41.87835735],863999,"[array(['6295630', '6255149', '6252001', '5224323', '5224162', '5223878',
        '5223869'], dtype=object)                                        ]",2025-07-09T06:11:44Z
