artist_name,artist_popularity,artist_followers,avg_track_popularity,total_tracks,explicit_ratio,avg_track_duration,lastfm_listeners,lastfm_playcount,plays_per_listener,lastfm_tag_1
Avril Lavigne,76.0,12004691.0,47.91666666666666,24,0.2916666666666667,3.635654166666667,4975714.0,258146500.0,51.881297839867806,Pop Rock
Avu-chan,22.0,855.0,41.0,1,0.0,5.822433333333334,9197.0,69474.0,7.5539849951071005,japan
Aya Nakamura,70.0,5545344.0,66.5,2,0.0,2.821416666666667,461123.0,11171899.0,24.227590035630406,RnB
Ayesha Erotica,0.0,127548.0,0.0,1,1.0,4.861533333333333,1084006.0,52695617.0,48.61192373473948,electroPop
Azealia Banks,59.0,1134449.0,1.0,1,1.0,2.8016,1656888.0,78455488.0,47.35111123986655,Hip-Hop
B.o.B,74.0,2265465.0,68.4,5,0.2,3.755020000000001,3057847.0,44690689.0,14.615083423075124,Hip-Hop
BADBADNOTGOOD,62.0,879067.0,69.0,1,0.0,4.5644,1114426.0,29974011.0,26.896367277863224,jazz
BAMBARA,30.0,29328.0,35.0,1,0.0,4.957766666666667,76058.0,1406362.0,18.4906518709406,post-punk
BANKS,56.0,1078897.0,47.0,2,1.0,3.027683333333333,1166049.0,49835979.0,42.73918077199157,Electronic
BANNERS,62.0,732382.0,71.0,2,0.0,3.6633416666666654,735511.0,9864967.0,13.412398998791316,indie
BEAUZ,58.0,210575.0,41.66666666666666,3,0.0,2.6368388888888887,172622.0,2166262.0,12.54916522807058,House
BENEE,62.0,869770.0,62.0,2,1.0,3.7247333333333335,983105.0,20493212.0,20.845394947640383,Pop
BETHY,18.0,824.0,34.0,1,0.0,4.065,3129.0,8189.0,2.6171300735059124,Unknown
BETWEEN FRIENDS,61.0,324920.0,0.25,4,0.5,3.144095833333333,812687.0,21957071.0,27.017869118122967,indie Pop
BEXEY,46.0,194007.0,0.0,1,1.0,1.625,99839.0,1495660.0,14.98071895752161,emo Rap
BJ Lips,63.0,164335.0,77.0,1,1.0,2.886133333333333,371134.0,7481092.0,20.15738789763266,electroPop
BL3SS,66.0,52913.0,23.0,1,0.0,2.3041,316828.0,2965974.0,9.361464264522075,House
