event_id,event_date,artist_name,venue_name,city,state_code,price_min,price_max,price_avg,total_tickets,sold_out,year,month,dayofweek,data_source
9521975,2016-10-25 00:00:00,Mana,Madison Square Garden,New York,NY,85.1,3890.0,1987.55,1712,0,2016,10,1,GitHub
9492173,2016-03-19 01:00:00,Manic Focus,Concord Music Hall,Chicago,IL,45.55,122.0,83.775,36,0,2016,3,5,GitHub
9478233,2016-11-04 22:00:00,Marillion,Royale Boston,Boston,MA,80.38,199.0,139.69,42,0,2016,11,4,GitHub
9477855,2016-10-28 01:00:00,Marillion,Vic Theatre,Chicago,IL,105.53,87.31,96.42,10,0,2016,10,4,GitHub
9478236,2016-10-29 01:00:00,Marillion,Vic Theatre,Chicago,IL,105.53,199.0,152.265,35,0,2016,10,5,GitHub
9476246,2016-11-09 00:00:00,Marillion,Playstation Theater,New York,NY,94.54,199.0,146.77,41,0,2016,11,2,GitHub
9477888,2016-10-22 03:00:00,Marillion,Regency Ballroom,San Francisco,CA,112.22,149.0,130.61,24,0,2016,10,5,GitHub
9478235,2016-10-28 00:59:00,Marillion 2 Day Pass,Vic Theatre,Chicago,IL,209.85,175.72,192.785,8,0,2016,10,4,GitHub
9542226,2016-05-01 04:30:00,Markus Schulz,Audio Nightclub San Francisco,San Francisco,CA,114.12,120.0,117.06,40,0,2016,5,6,GitHub
9529113,2016-03-18 02:00:00,Markus Schulz and more,Club Space Miami,Miami,FL,90.4,74.49,82.445,2,0,2016,3,4,GitHub
9439484,2016-10-07 01:30:00,Maroon 5,Pepsi Center,Denver,CO,94.93,5000.0,2547.465,1539,0,2016,10,4,GitHub
9439471,2016-09-07 23:30:00,Maroon 5,American Airlines Arena,Miami,FL,77.61,4410.0,2243.805,3957,0,2016,9,2,GitHub
9439468,2016-10-17 02:30:00,Maroon 5,Oracle Arena,Oakland,CA,99.06,4655.0,2377.03,2322,0,2016,10,0,GitHub
9439488,2016-10-14 02:30:00,Maroon 5,Moda Center at the Rose Quarter,Portland,OR,68.58,7995.0,4031.79,2233,0,2016,10,4,GitHub
9439487,2016-10-12 02:30:00,Maroon 5,Key Arena,Seattle,WA,96.9,1450.0,773.45,1978,0,2016,10,2,GitHub
9520433,2016-04-02 02:00:00,Marshmello,Royale Boston,Boston,MA,81.55,299.99,190.77,47,0,2016,4,5,GitHub
9530892,2016-04-16 03:00:00,Marshmello,Ogden Theatre,Denver,CO,36.73,200.0,118.365,192,0,2016,4,5,GitHub
9533355,2016-05-14 02:00:00,Marshmello,Stereo Live,Houston,TX,67.39,99.99,83.69,32,0,2016,5,5,GitHub
9530587,2016-03-19 03:00:00,Martin Garrix,Story Nightclub,Miami Beach,FL,177.14,250.0,213.57,17,0,2016,3,5,GitHub
9455600,2016-04-22 00:00:00,Martin Hayes and Dennis Cahill,Highline Ballroom,New York,NY,60.32,62.7,61.510000000000005,24,0,2016,4,4,GitHub
9509317,2016-05-13 02:00:00,Matthew Logan Vasquez,Mercy Lounge ,Nashville,TN,35.42,70.0,52.71,38,0,2016,5,4,GitHub
9431483,2016-03-25 01:00:00,Matthew Morrison,Jones Hall,Houston,TX,37.11,27.0,32.055,2,0,2016,3,4,GitHub
9431484,2016-03-26 01:00:00,Matthew Morrison,Jones Hall,Houston,TX,166.52,139.0,152.76,4,0,2016,3,5,GitHub
9431485,2016-03-27 01:00:00,Matthew Morrison,Jones Hall,Houston,TX,166.91,137.0,151.95499999999998,2,0,2016,3,6,GitHub
9530553,2016-03-21 02:00:00,MAU5TRAP Presents MAU5HAX BU5 TOUR,Treehouse Miami,Miami Beach,FL,96.9,200.0,148.45,25,0,2016,3,0,GitHub
9510219,2016-03-20 01:00:00,Mavis Staples,Thalia Hall Chicago,Chicago,IL,119.32,99.0,109.16,1,0,2016,3,6,GitHub
9542394,2016-03-20 01:00:00,Max Creek,Port City Music Hall,Portland,ME,201.92,169.0,185.45999999999998,7,0,2016,3,6,GitHub
9484056,2016-03-20 23:00:00,Mayday Parade,State Theatre Portland Maine,Portland,ME,28.85,62.0,45.425,44,0,2016,3,6,GitHub
9536472,2016-05-23 00:00:00,Mayer Hawthorne,Emos,Austin,TX,50.76,70.0,60.379999999999995,20,0,2016,5,0,GitHub
9536471,2016-05-17 01:00:00,Mayer Hawthorne,Granada Theater Dallas,Dallas,TX,104.56,86.51,95.535,12,0,2016,5,1,GitHub
9535724,2016-05-14 03:00:00,Mayer Hawthorne,Ogden Theatre,Denver,CO,67.39,77.0,72.195,33,0,2016,5,5,GitHub
9536475,2016-05-19 01:00:00,Mayer Hawthorne,Marathon Music Works,Nashville,TN,70.89,58.0,64.445,14,0,2016,5,3,GitHub
9536468,2016-05-07 03:00:00,Mayer Hawthorne,Fox Theater Oakland,Oakland,CA,72.77,108.9,90.83500000000001,83,0,2016,5,5,GitHub
9536469,2016-05-09 03:00:00,Mayer Hawthorne,Revolution Hall Portland,Portland,OR,70.87,122.0,96.435,24,0,2016,5,0,GitHub
9536612,2016-05-11 03:00:00,Mayer Hawthorne,The Neptune,Seattle,WA,57.13,125.0,91.065,14,0,2016,5,2,GitHub
9527218,2016-06-03 23:00:00,Maze featuring Frankie Beverly and Gladys Knight,Chastain Park Amphitheatre,Atlanta,GA,154.72,275.0,214.86,94,0,2016,6,4,GitHub
9501631,2016-04-12 00:30:00,Meat Loaf,Schermerhorn Symphony Center,Nashville,TN,120.46,356.0,238.23,47,0,2016,4,1,GitHub
9473176,2016-03-21 22:00:00,Megadeth,House of Blues Boston,Boston,MA,88.63,349.0,218.815,202,0,2016,3,0,GitHub
9473164,2016-03-14 00:00:00,Megadeth,Aragon Ballroom,Chicago,IL,93.36,98.04,95.7,32,0,2016,3,0,GitHub
9473166,2016-03-16 22:00:00,Megadeth,Terminal 5,New York,NY,61.5,150.0,105.75,57,0,2016,3,2,GitHub
9473167,2016-03-17 22:00:00,Megadeth,Terminal 5,New York,NY,70.15,195.0,132.575,65,0,2016,3,3,GitHub
9473170,2016-03-21 00:00:00,Megadeth,The Electric Factory,Philadelphia,PA,59.14,150.0,104.57,121,0,2016,3,0,GitHub
9475558,2016-04-05 23:30:00,Melanie Martinez,Buckhead Theatre,Atlanta,GA,67.39,144.0,105.695,112,0,2016,4,1,GitHub
9475584,2016-04-08 01:00:00,Melanie Martinez,Emos,Austin,TX,112.82,135.0,123.91,42,0,2016,4,4,GitHub
9475554,2016-03-29 23:30:00,Melanie Martinez,House of Blues Boston,Boston,MA,72.08,299.0,185.54,188,0,2016,3,1,GitHub
9475573,2016-03-18 01:00:00,Melanie Martinez,Vic Theatre,Chicago,IL,81.95,149.0,115.475,51,0,2016,3,4,GitHub
9475583,2016-04-11 00:30:00,Melanie Martinez,Warehouse Live,Houston,TX,90.64,200.0,145.32,52,0,2016,4,0,GitHub
9475552,2016-03-25 00:00:00,Melanie Martinez,Playstation Theater,New York,NY,61.5,255.0,158.25,110,0,2016,3,4,GitHub
9475729,2016-03-27 00:00:00,Melanie Martinez,Trocadero,Philadelphia,PA,142.04,250.0,196.01999999999998,34,0,2016,3,6,GitHub
9536535,2016-04-25 00:00:00,Melendi,Fillmore Miami Beach at Jackie Gleason Theater,Miami Beach,FL,113.42,250.0,181.71,28,0,2016,4,0,GitHub
9541671,2016-06-29 00:00:00,Melissa Etheridge,Wilbur Theatre,Boston,MA,122.86,299.99,211.425,18,0,2016,6,2,GitHub
9539302,2016-07-02 23:00:00,Melissa Etheridge Solo,Maine State Pier,Portland,ME,70.15,225.0,147.575,12,0,2016,7,5,GitHub
9537887,2016-04-24 04:00:00,Melody's Echo Chamber,Roxy Theatre Los Angeles,Los Angeles,CA,78.0,64.0,71.0,8,0,2016,4,6,GitHub
9528103,2016-09-23 00:00:00,Memphis Soul - Premier Motown Band,Dallas Arboretum and Botanical Garden,Dallas,TX,49.21,37.25,43.230000000000004,6,0,2016,9,4,GitHub
9527803,2016-12-17 00:30:00,Mercyme with The Dallas Pops Holiday Concert,American Airlines Center,Dallas,TX,103.98,1295.0,699.49,226,0,2016,12,5,GitHub
9523330,2016-06-17 00:00:00,Merle Haggard,Arena Theatre,Houston,TX,221.98,255.0,238.49,8,0,2016,6,4,GitHub
9484314,2016-09-28 00:30:00,Merle Haggard,Ryman Auditorium,Nashville,TN,87.46,9000.0,4543.73,171,0,2016,9,2,GitHub
9484317,2016-09-29 00:30:00,Merle Haggard,Ryman Auditorium,Nashville,TN,89.82,9000.0,4544.91,156,0,2016,9,3,GitHub
9456804,2016-03-18 00:00:00,Metric,Orpheum Theatre - MA,Boston,MA,46.55,105.0,75.775,49,0,2016,3,4,GitHub
9456800,2016-03-16 00:00:00,Metric,Fillmore Philadelphia,Philadelphia,PA,32.0,199.01,115.505,72,0,2016,3,2,GitHub
9528753,2016-03-20 03:30:00,Miami Music Week 2016 with Nervo and Kap Slap,Wall Miami,Miami,FL,232.6,199.95,216.27499999999998,5,0,2016,3,6,GitHub
9529584,2016-03-20 16:00:00,Miami Music Week featuring Carnage,Hyde Beach at SLS Hotel South Beach,Miami Beach,FL,148.82,199.0,173.91,4,0,2016,3,6,GitHub
9540471,2016-04-24 00:00:00,MiamiBash featuring J Balvin,American Airlines Arena,Miami,FL,78.88,551.0,314.94,381,0,2016,4,6,GitHub
9346482,2016-06-01 00:30:00,Michael Cavanaugh in Concert,Schermerhorn Symphony Center,Nashville,TN,104.57,99.0,101.785,9,0,2016,6,2,GitHub
9533495,2016-08-16 23:00:00,Michael Franti and Spearhead,House of Blues Boston,Boston,MA,124.2,103.14,113.67,6,0,2016,8,1,GitHub
