year,rank,market,gross,tickets,avg_price,avg_price_change,shows,dma_rank,revenue_per_show,tickets_per_show,tm_events,tm_avg_price,tm_unique_artists,gross_lag1,tickets_lag1,avg_price_lag1,shows_lag1,gross_growth,ticket_growth
2023,86,Dayton,8088168,146297,55.29,-0.2,71,64,113917.85915492958,2060.521126760563,,,,2466633.0,35854.0,68.8,9.0,2.279031781379719,3.080353656495788
2024,74,Dayton,14682663,236937,61.97,0.12,100,64,146826.63,2369.37,,,,8088168.0,146297.0,55.29,71.0,0.8153261653318773,0.6195615767924154
2022,8,Denver,56340791,706176,79.78,0.0,152,16,370663.0986842105,4645.894736842105,,,,,,,,,
2023,16,Denver,134568071,1569758,85.73,0.07,412,17,326621.53155339806,3810.0922330097087,,,,56340791.0,706176.0,79.78,152.0,1.3884661292739038,1.2228991073046944
2024,18,Denver,152814674,1691713,90.33,0.05,457,16,334386.5951859956,3701.7789934354487,,,,134568071.0,1569758.0,85.73,412.0,0.13559385123384882,0.07769031914473445
2025,12,Denver,218395048,2433003,89.76,-0.006,600,17,363991.74666666664,4055.005,,,,152814674.0,1691713.0,90.33,457.0,0.4291497163420315,0.4381889835923707
2023,77,Des Moines,11421996,146384,78.03,0.54,47,69,243021.1914893617,3114.553191489362,,,,,,,,,
2024,67,Des Moines,21110348,306823,68.8,-0.12,137,68,154090.13138686132,2239.5839416058393,,,,11421996.0,146384.0,78.03,47.0,0.8482188226996403,1.0960145917586623
2025,44,Des Moines-Ames,47606444,527294,90.28,0.312,163,67,292064.0736196319,3234.9325153374234,,,,,,,,,
2022,13,Detroit,41720069,574252,72.65,0.0,86,15,485117.0813953488,6677.3488372093025,,,,,,,,,
2023,14,Detroit,164665824,2140552,76.93,0.06,430,13,382943.77674418606,4978.027906976744,,,,41720069.0,574252.0,72.65,86.0,2.946921180787117,2.727548184420777
2024,13,Detroit,208376320,2485735,83.83,0.09,548,14,380248.7591240876,4536.012773722628,,,,164665824.0,2140552.0,76.93,430.0,0.26544971469003786,0.1612588715434149
2025,15,Detroit,176278287,2025112,87.05,0.038,447,14,394358.58389261743,4530.451901565995,,,,208376320.0,2485735.0,83.83,548.0,-0.15403877465539273,-0.18530655922694894
2022,60,El Paso,5164849,62329,82.86,0.0,12,93,430404.0833333333,5194.083333333333,,,,,,,,,
2023,71,El Paso,13699845,175681,77.98,-0.06,122,92,112293.81147540984,1440.0081967213114,,,,5164849.0,62329.0,82.86,12.0,1.6525160754941721,1.8186077106964653
2024,54,El Paso,26324528,239110,110.09,0.41,96,91,274213.8333333333,2490.7291666666665,,,,13699845.0,175681.0,77.98,122.0,0.9215201339869175,0.36104644213090764
2025,76,El Paso (Las Cruces),13168255,138777,94.89,-0.138,78,89,168823.78205128206,1779.1923076923076,,,,,,,,,
2022,100,Eugene,1445285,31594,45.75,0.0,10,113,144528.5,3159.4,,,,,,,,,
2022,83,Evansville,2513661,41247,60.94,0.0,17,106,147862.41176470587,2426.294117647059,,,,,,,,,
2024,88,Evansville,10734837,198522,54.07,-0.13,91,107,117965.24175824175,2181.5604395604396,,,,2513661.0,41247.0,60.94,17.0,3.2705985413307523,3.8130045821514296
2025,86,Evansville,10066274,276420,36.42,-0.327,121,109,83192.34710743802,2284.4628099173556,,,,10734837.0,198522.0,54.07,91.0,-0.062279753292947104,0.39238976032883
2022,67,Fargo,4231594,61685,68.6,0.0,12,114,352632.8333333333,5140.416666666667,,,,,,,,,
2023,95,Fargo,7046771,80566,87.47,0.28,17,116,414515.9411764706,4739.176470588235,,,,4231594.0,61685.0,68.6,12.0,0.6652757802378961,0.30608737942773767
2024,77,Fargo,13929945,144015,96.73,0.11,29,113,480342.9310344828,4966.0344827586205,,,,7046771.0,80566.0,87.47,17.0,0.9767841185700514,0.7875406499019437
2025,58,Fort Myers-Naples,24635794,334051,73.75,0.01,207,53,119013.49758454107,1613.7729468599034,,,,,,,,,
2025,79,Fort Smith-Fayetteville-Springdale-Rogers,11937228,200691,59.48,0.011,41,96,291151.9024390244,4894.90243902439,,,,,,,,,
2025,94,Fort Wayne,8043679,157174,51.18,-0.046,142,110,56645.626760563384,1106.8591549295775,,,,,,,,,
2022,55,Fresno-Visalia,5541401,73126,75.78,0.0,15,55,369426.73333333334,4875.066666666667,,,,,,,,,
2023,66,Fresno-Visalia,15728079,205036,76.71,0.01,53,54,296756.2075471698,3868.603773584906,,,,5541401.0,73126.0,75.78,15.0,1.8382856609727396,1.8038727675518968
2024,65,Fresno-Visalia,21622213,229407,94.25,0.23,54,53,400411.35185185185,4248.277777777777,,,,15728079.0,205036.0,76.71,53.0,0.3747523139984228,0.11886205349304513
2025,57,Fresno-Visalia,27580863,311687,88.49,-0.061,73,55,377820.0410958904,4269.684931506849,,,,21622213.0,229407.0,94.25,54.0,0.2755800250418401,0.35866385942887535
2022,50,Ft. Myers-Naples,6418101,99053,64.79,0.0,44,54,145865.93181818182,2251.2045454545455,,,,,,,,,
2023,61,Ft. Myers-Naples,18251641,238816,76.43,0.18,154,61,118517.14935064936,1550.7532467532467,,,,6418101.0,99053.0,64.79,44.0,1.843775908169722,1.4109920951409851
2024,60,Ft. Myers-Naples,23312109,319374,72.99,-0.04,168,55,138762.55357142858,1901.0357142857142,,,,18251641.0,238816.0,76.43,154.0,0.27726098710795366,0.3373224574567868
2022,53,Ft. Smith,6155586,118911,51.77,0.0,19,95,323978.2105263158,6258.473684210527,,,,,,,,,
2023,83,Ft. Smith,8446241,147408,57.3,0.11,30,99,281541.36666666664,4913.6,,,,6155586.0,118911.0,51.77,19.0,0.3721262281121569,0.23964982213588315
2024,81,Ft. Smith,12541477,213097,58.85,0.03,37,97,338958.8378378378,5759.378378378378,,,,8446241.0,147408.0,57.3,30.0,0.48485900414160565,0.445627103006621
2022,87,Ft. Wayne,2224545,51702,43.03,0.0,88,111,25278.920454545456,587.5227272727273,,,,,,,,,
2023,94,Ft. Wayne,7068200,160743,43.97,0.02,142,110,49776.05633802817,1131.9929577464789,,,,2224545.0,51702.0,43.03,88.0,2.1773688552040977,2.109028664268307
2024,82,Ft. Wayne,11758895,219241,53.63,0.22,138,108,85209.38405797101,1588.7028985507247,,,,7068200.0,160743.0,43.97,142.0,0.6636335983701649,0.36392253472935066
2022,61,Grand Rapids-Kalamazoo,4944432,94903,52.1,0.0,77,41,64213.4025974026,1232.5064935064936,,,,,,,,,
2023,59,Grand Rapids-Kalamazoo,18729510,381644,49.08,-0.06,325,44,57629.26153846154,1174.2892307692307,,,,4944432.0,94903.0,52.1,77.0,2.7880003203603567,3.0214113357849595
2024,41,Grand Rapids-Kalamazoo,40342466,685437,58.86,0.2,440,42,91687.42272727273,1557.8113636363637,,,,18729510.0,381644.0,49.08,325.0,1.1539520254400677,0.7960114661831446
2025,52,Grand Rapids-Kalamazoo-Battle Creek,36357174,606248,59.97,0.019,409,43,88892.84596577018,1482.2689486552567,,,,,,,,,
2023,68,Green Bay-Appleton,15157286,174304,86.96,0.72,66,68,229655.84848484848,2640.969696969697,,,,,,,,,
2024,71,Green Bay-Appleton,16694888,219459,76.07,-0.13,110,69,151771.70909090908,1995.081818181818,,,,15157286.0,174304.0,86.96,66.0,0.10144309475984015,0.2590588856251148
2025,62,Green Bay-Appleton,22145037,306558,72.24,-0.05,153,68,144738.80392156861,2003.6470588235295,,,,16694888.0,219459.0,76.07,110.0,0.3264561583162462,0.39688051071042874
2025,36,Greensboro-High Point-Winston-Salem,60012194,881500,68.08,-0.075,304,46,197408.53289473685,2899.6710526315787,,,,,,,,,
2022,89,Greensboro-Winston Salem,2119884,44077,48.1,0.0,44,47,48179.181818181816,1001.75,,,,,,,,,
2023,40,Greensboro-Winston Salem,32015006,378757,84.53,0.76,190,46,168500.03157894738,1993.457894736842,,,,2119884.0,44077.0,48.1,44.0,14.102244273743281,7.593075753794496
2024,39,Greensboro-Winston Salem,43137508,586331,73.57,-0.13,274,47,157436.16058394162,2139.894160583942,,,,32015006.0,378757.0,84.53,190.0,0.3474152714511438,0.548040036223753
2022,42,Greenville-Spartanburg,8411611,160772,52.32,0.0,118,35,71284.83898305085,1362.4745762711864,,,,,,,,,
2023,39,Greenville-Spartanburg,36390876,509173,71.47,0.37,312,37,116637.42307692308,1631.9647435897436,,,,8411611.0,160772.0,52.32,118.0,3.326267108643041,2.167050232627572
2024,48,Greenville-Spartanburg,33147576,442383,74.93,0.05,192,37,172643.625,2304.078125,,,,36390876.0,509173.0,71.47,312.0,-0.08912398811174538,-0.13117349113169785
2025,41,Greenville-Spartanburg-Asheville-Anderson,54769300,822100,66.62,-0.111,282,36,194217.37588652482,2915.248226950355,,,,,,,,,
2025,67,Harlingen-Weslaco-Brownsville-McAllen,18632463,184805,100.82,0.038,57,80,326885.3157894737,3242.1929824561403,,,,,,,,,
2025,47,Harrisburg-Lancaster-Lebanon-York,44104498,443128,99.53,0.353,76,42,580322.3421052631,5830.631578947368,,,,,,,,,
2023,65,Harrisburg-York-Lancaster,16326195,219215,74.48,-0.02,42,43,388718.9285714286,5219.4047619047615,,,,,,,,,
2024,69,Harrisburg-York-Lancaster,19728654,268287,73.54,-0.01,56,43,352297.39285714284,4790.839285714285,,,,16326195.0,219215.0,74.48,42.0,0.20840489777317983,0.22385329471067217
2022,35,Harrisburg/York/Lancaster,16536639,217991,75.86,0.0,24,42,689026.625,9082.958333333334,,,,,,,,,
2022,21,Hartford-New Haven,30181334,415813,72.58,0.0,184,32,164028.98913043478,2259.853260869565,,,,,,,,,
2023,29,Hartford-New Haven,50548189,800312,63.16,-0.13,327,30,154581.61773700305,2447.4373088685015,,,,30181334.0,415813.0,72.58,184.0,0.6748162622632916,0.9246921091933153
2024,33,Hartford-New Haven,57343763,812808,70.55,0.12,293,34,195712.50170648465,2774.0887372013653,,,,50548189.0,800312.0,63.16,327.0,0.13443753642687373,0.015613910574875822
2025,32,Hartford-New Haven,81690796,1034251,78.99,0.12,310,32,263518.69677419355,3336.293548387097,,,,57343763.0,812808.0,70.55,293.0,0.4245803157354706,0.27244195431147333
2025,97,Honolulu,6928804,65205,106.26,0.258,25,69,277152.16,2608.2,,,,,,,,,
2022,10,Houston,45734158,546409,83.7,0.0,141,8,324355.7304964539,3875.241134751773,,,,,,,,,
2023,15,Houston,138209762,1374414,100.56,0.2,439,8,314828.6150341686,3130.7835990888384,,,,45734158.0,546409.0,83.7,141.0,2.0220248506597627,1.5153575435250883
2024,17,Houston,170669310,1631831,104.59,0.04,477,6,357797.2955974843,3421.029350104822,,,,138209762.0,1374414.0,100.56,439.0,0.2348571297011568,0.1872921841599402
2025,21,Houston,135643052,1396139,97.16,-0.071,392,6,346028.193877551,3561.579081632653,,,,170669310.0,1631831.0,104.59,477.0,-0.2052288018273467,-0.14443407436186717
2023,74,Huntsville-Decatur,11888542,162728,73.06,0.37,45,79,264189.8222222222,3616.177777777778,,,,,,,,,
