city,secondary_events_count,avg_secondary_price_market,avg_volatility_market,avg_listings_market,high_demand_rate_market,unique_artists_secondary
Hamilton,5,86.25125,0.2704620218881287,461.6666666666667,0.6,5
Hartford,1,121.105,0.3354770577015068,,0.0,1
Hattiesburg,1,37.04,0.0483207050991406,146.0,0.0,1
Hawrat Ingah,1,62.16,0.1257342972119284,115.0,0.0,1
Hershey,4,55.71,0.45084475667561064,458.0,0.25,3
Highland,3,86.86833333333334,0.5385907331922746,148.66666666666666,0.3333333333333333,3
Holmdel,1,69.63499999999999,0.3212630289630057,,0.0,1
Honolulu,1,,,56.0,0.0,1
Houston,5,83.3325,0.2999450025106034,398.0,0.6,5
Huntsville,1,72.715,0.1986645219056015,,0.0,1
Independence,1,57.94,0.111917978397572,,0.0,1
Indianapolis,9,100.97333333333333,0.34919991796195265,527.1666666666666,0.6666666666666666,5
Inglewood,8,169.524375,0.23770928006511882,679.75,0.5,7
Irving,4,118.56666666666666,0.16892444216086422,230.5,0.25,4
Jacksonville,2,70.095,0.16320128943247308,,0.0,2
Jonesboro,1,94.005,0.1203360045364414,,0.0,1
Jupiter,1,55.635000000000005,0.3191353620445589,36.0,0.0,1
Kamloops,1,43.29,0.1988833488999223,535.0,1.0,1
Kansas City,4,122.32,0.21881566032132277,330.75,0.5,4
Knoxville,1,54.275,0.1417398976222351,,0.0,1
Las Vegas,34,114.3664705882353,0.21418541933941587,490.2083333333333,0.5588235294117647,20
Laval,3,27.399999999999995,0.3156082563815597,299.3333333333333,1.0,2
Leeds,1,113.68,0.0713866721685512,33.0,0.0,1
Leipzig,2,131.9225,0.2942051667851471,78.5,0.0,2
Lewiston,1,85.255,0.0308697759904795,514.0,1.0,1
Lexington,4,41.56166666666667,0.24623280660175015,438.0,0.25,4
Lincoln,6,101.361,0.22142724125816587,285.6,0.5,6
London,22,91.30775,0.29024636452029723,102.13636363636364,0.09090909090909091,17
Long Beach,1,56.31,0.0,814.0,1.0,1
Los Angeles,16,100.72464285714285,0.3310688719684059,255.64285714285714,0.375,16
