venue_id,venue_name,venue_capacity,venue_postal_code,venue_city,venue_state_code,venue_latitude,venue_longitude,tm_api_status
KovZpZAE7dFA,"Scherr Forum- B of A Performing Arts Center, Thousand Oaks",,91362,Thousand Oaks,CA,34.17507100,-118.84949100,Success
ZFr9jZAFek,Canyon Club-CA,,91301,Agoura Hills,CA,34.140301000,-118.762497000,Success
ZFr9jZae17,The Soraya,,91330,Northridge,CA,34.243900000,-118.500000000,Success
rZ7HnEZ17q_p7,Ojai Playhouse,,93023,Ojai,CA,34.44761,-119.24615,Success
rZ7HnEZ178EP4,Oxnard Levity Live,,93036,Oxnard,CA,34.240384,-119.175777,Success
KovZpZAkldvA,Copper Blues Oxnard Resturant,,93036,Oxnard,CA,34.24022900,-119.17627400,Success
rZ7HnEZa7Re,Ventura Theater,,93001,Ventura,CA,34.280430,-119.291410,Success
Z7r9jZa7OK,Ventura Music Hall,,93001,Ventura,CA,34.348801000,-119.330399000,Success
rZ7HnEZ17jouS,Vandy Manor - Home of Mr & Mrs Van Dyke,,90265,Malibu,CA,34.03562,-118.68565,Success
KovZpZAaEtJA,El Portal Theatre,,91601,North Hollywood,CA,34.16677700,-118.37626300,Success
rZ7HnEZ17FaQ4,Whisky A Go Go,,90069,West Hollywood,CA,34.090897,-118.385693,Success
rZ7HnEZ178-OP,Rainbow Bar & Grill,,90069,West Hollywood,CA,34.0908893,-118.3882002,Success
ZFr9jZeA6a,Roxy Theatre-CA,,90069,West Hollywood,CA,34.094200000,-118.381500000,Success
ZFr9jZeFAd,Troubadour,,90069,West Hollywood,CA,34.094200000,-118.381500000,Success
rZ7HnEZ17a6k7,Troubadour,,90069,West Hollywood,CA,34.081626,-118.389359,Success
KovZ917A2k0,The Peppermint Club,,90048,Los Angeles,CA,34.07685100,-118.38107200,Success
KovZpZAFFvJA,Hollywood Bowl,,90068,Hollywood,CA,34.11177334,-118.33851469,Success
ZFr9jZea1v,Saban Theatre,,90211,Beverly Hills,CA,34.064899000,-118.382896000,Success
KovZpZAdtaEA,Dolby Theatre,,90028,Hollywood,CA,34.10177237,-118.34020235,Success
rZ7HnEZa7Yy,Catalina Bar & Grill,,90028,Hollywood,CA,34.098337,-118.337228,Success
KovZ917AtpB,Ticketmaster LA The Lot at Formosa,,90046,West Hollywood,CA,34.09028000,-118.34647000,Success
rZ7HnEZaeWy,Avalon Hollywood,,90028,Hollywood,CA,34.102718,-118.327156,Success
KovZpZAAtJ6A,The Ricardo Montalban Theatre,,90028,Hollywood,CA,34.10121810,-118.32573900,Success
Z6r9jZFdee,The Fonda Theatre,,90028,Los Angeles,CA,34.099800000,-118.326897000,Success
ZFr9jZedFA,Avalon Hollywood,,90028,Hollywood,CA,34.099800000,-118.326897000,Success
rZ7HnEZ17qpvf,Blue Note Los Angeles,,90028,Los Angeles,CA,34.09772,-118.32871,Success
rZ7HnEZ17f6_g,Academy LA,,90028,Los Angeles,CA,34.102050,-118.320900,Success
KovZpZAEAlaA,Hollywood Palladium,,90028,Hollywood,CA,34.09850537,-118.32421313,Success
KovZpa971e,Alex Theatre,,91203,Glendale,CA,34.14879227,-118.25456238,Success
Z6r9jZkv7e,El Rey Theatre - Los Angeles,,90036,Los Angeles,CA,34.070202000,-118.349998000,Success
rZ7HnEZ17FkCA,The Mint,,90035,Los Angeles,CA,34.052206,-118.371602,Success
Z6r9jZ6Fde,Greek Theatre-Los Angeles,,90027,Los Angeles,CA,34.125198000,-118.292000000,Success
KovZpa2Hxe,Greek Theatre,,90027,Los Angeles,CA,34.11948811,-118.29629093,Success
rZ7HnEZa5yw,The Masonic Lodge at Hollywood Forever,,90038,Los Angeles,CA,34.09146884,-118.3197350,Success
rZ7HnEZ17f-uP,Harvard & Stone,,90027,Los Angeles,CA,34.101940,-118.304359,Success
rZ7HnEZ177FAP,El Cid,,90029,Los Angeles,CA,34.093830,-118.282414,Success
KovZpZAEAl6A,The Wiltern,,90010,Los Angeles,CA,34.06141494,-118.30879207,Success
rZ7HnEZ178PaP,Catch One,,90019,Los Angeles,CA,34.047830,-118.324115,Success
rZ7HnEZ173__A,Transplants Brewing Company,,93551,Palmdale,CA,34.61442,-118.13965,Success
rZ7HnEZ17aeZA,AV EVENT CENTER ,,93534,Lancaster,CA,34.70023,-118.17456,Success
KovZpa6OCe,Echoplex,,90026,Los Angeles,CA,34.07758470,-118.26063160,Success
KovZ917A967,The Echo,,90026,Los Angeles,CA,34.07772900,-118.26010800,Success
KovZ917AiI3,The Bellwether,,90017,Los Angeles,CA,34.05730000,-118.25837000,Success
KovZpZAEvnFA,Teragram Ballroom,,90017,Los Angeles,CA,34.05184100,-118.26707600,Success
ZFr9jZe6vA,Crypto.com Arena,,90017,Los Angeles,CA,34.053101000,-118.264900000,Success
KovZ917AReX,Camille's at The Bellwether,,90017,Los Angeles,CA,34.05654000,-118.25837000,Success
KovZpZAall1A,Los Angeles Convention Center,,90015,Los Angeles,CA,34.04312980,-118.26988220,Success
KovZpZAEdntA,Crypto.com Arena,,90015,Los Angeles,CA,34.04300300,-118.26725300,Success
ZFr9jZ67A6,Shrine Expo Hall,,90007,Los Angeles,CA,34.027599000,-118.285004000,Success
ZFr9jZekAA,Shrine Auditorium-CA,,90007,Los Angeles,CA,34.027599000,-118.285004000,Success
KovZpZAJvlnA,The GRAMMY Museum,,90015,Los Angeles,CA,34.04441000,-118.26464700,Success
ZFr9jZ1a16,The United Theater on Broadway,,90015,Los Angeles,CA,34.039700000,-118.266403000,Success
ZFr9jZ6dAF,The Novo by Microsoft,,90015,Los Angeles,CA,34.039700000,-118.266403000,Success
ZFr9jZk7d6,Peacock Theater - LA,,90015,Los Angeles,CA,34.039700000,-118.266403000,Success
KovZpZAEA66A,Rose Bowl,,91103,Pasadena,CA,34.16146505,-118.16751312,Success
KovZpZAJvttA,The Belasco,,90015,Los Angeles,CA,34.04024506,-118.25923920,Success
KovZpZAJE1vA,Palace Theatre,,90014,Los Angeles,CA,34.04637500,-118.25254400,Success
ZFr9jZkFda,Lancaster Performing Arts Center,,93534,Lancaster,CA,34.734901000,-118.150803000,Success
KovZpa3uCe,Orpheum Theatre,,90014,Los Angeles,CA,34.04263554,-118.25558624,Success
KovZpZA1tdFA,The Miracle Theater,,90301,Inglewood,CA,33.96525200,-118.35150800,Success
KovZpZAJ6daA,The Regent Theater,,90013,Los Angeles,CA,34.04730000,-118.24799000,Success
ZFr9jZa6a6,Exchange LA,,90014,Los Angeles,CA,34.043201000,-118.252296000,Success
KovZ917A3c0,BMO Stadium,,90037,Los Angeles,CA,34.01287900,-118.28492600,Success
KovZ917A-HU,Pacific Electric,,90012,Los Angeles,CA,34.06898600,-118.22556100,Success
rZ7HnEZ17f6QA,Exchange LA,,90014,Los Angeles,CA,34.0417391,-118.2512004,Success
KovZ917Ah1H,Chase Center,,94158,San Francisco,CA,37.76797,-122.387464,Success
rZ7HnEZ17f-ug,Neck of the Woods,,94118,San Francisco,CA,37.783230,-122.463783,Success
KovZpaF_me,The Castro Theatre,,94114,San Francisco,CA,37.76201300,-122.43469600,Success
ZFr9jZ76k7,The Independent,,94117,San Francisco,CA,37.770599000,-122.444000000,Success
ZFr9jZ1Avd,The Chapel,,94110,San Francisco,CA,37.749599000,-122.415298000,Success
Z7r9jZa7cw,Roccapulco,,94110,San Francisco,CA,37.749599000,-122.415298000,Success
rZ7HnEZa73K,Cafe Du Nord,,94114,San Francisco,CA,37.766526,-122.430487,Success
rZ7HnEZa7sP,Swedish American Hall,,94114,San Francisco,CA,37.766750,-122.430607,Success
Z7r9jZaddg,The Midway,,94124,San Francisco,CA,37.730900000,-122.386002000,Success
rZ7HnEZadXm,The Independent,,94117,San Francisco,CA,37.7755,-122.4378,Success
rZ7HnEZ17Fp1f,Brick and Mortar Music Hall,,94103,San Francisco,CA,37.769739,-122.420282,Success
KovZpZAanJFA,Brick & Mortar Music Hall,,94103,San Francisco,CA,37.76971817,-122.42037964,Success
rZ7HnEZ178tZP,Brick & Mortar Music Hall,,94103,San Francisco,CA,37.76993,-122.42038,Success
Z7r9jZa7m7,The Guild Theatre - CA,,94025,Menlo Park,CA,37.452400000,-122.184196000,Success
KovZpZAE6eeA,The Fillmore,,94115,San Francisco,CA,37.78423920,-122.43329360,Success
KovZpZAa1JaA,Rickshaw Stop,,94102,San Francisco,CA,37.77621701,-122.42037669,Success
Z6r9jZAAAe,Davies Symphony Hall,,94102,San Francisco,CA,37.779499000,-122.419502000,Success
ZFr9jZkFee,Rickshaw Stop,,94102,San Francisco,CA,37.779499000,-122.419502000,Success
ZFr9jZeaAF,Warfield,,94102,San Francisco,CA,37.779499000,-122.419502000,Success
Z6r9jZ6kde,Golden Gate Theater,,94102,San Francisco,CA,37.779499000,-122.419502000,Success
ZFr9jZedke,Orpheum Theatre-San Francisco,,94102,San Francisco,CA,37.779499000,-122.419502000,Success
ZFr9jZAeF1,Moscone Center,,94103,San Francisco,CA,37.773102000,-122.411003000,Success
Z7r9jZaeiE,1015 Folsom,,94103,San Francisco,CA,37.773102000,-122.411003000,Success
KovZ917AsNJ,The Theater at Bill Graham Civic Auditorium,,94102,San Francisco,CA,37.77833000,-122.41743000,Success
KovZpaKope,Bill Graham Civic Auditorium,,94102,San Francisco,CA,37.77847900,-122.41747300,Success
ZFr9jZ1Ad7,Miner Auditorium,,94102,San Francisco,CA,37.779499000,-122.419502000,Success
KovZpap0Fe,Palace of Fine Arts,,94123,San Francisco,CA,37.80188400,-122.44824900,Success
Z6r9jZA7Fe,Curran Theatre,,94102,San Francisco,CA,37.779499000,-122.419502000,Success
Z7r9jZadQX,August Hall,,94102,San Francisco,CA,37.779499000,-122.419502000,Success
KovZ917Ai8x,Monarch,,94103,San Francisco,CA,37.78098762,-122.40834990,Success
ZFr9jZ7kv6,The Regency Ballroom,,94109,San Francisco,CA,37.793301000,-122.421204000,Success
ZFr9jZdv1d,Great American Music Hall,,94109,San Francisco,CA,37.793301000,-122.421204000,Success
rZ7HnEZ17ao8f,Feinstein's at The Nikko,,94102,San Francisco,CA,37.786022,-122.409225,Success
KovZ917ALXF,August Hall,,94102,San Francisco,CA,37.78757100,-122.40959800,Success
KovZpZAJ6nlA,The Masonic,,94108,San Francisco,CA,37.79141900,-122.41329300,Success
KovZpZA1dAJA,Red Devil Lounge,,94109,San Francisco,CA,37.79223580,-122.42118410,Success
rZ7HnEZaeq7,Bimbo's 365 Club,,94133,San Francisco,CA,37.8037961,-122.4178422,Success
ZFr9jZddk1,Bimbo's 365 Club,,94133,San Francisco,CA,37.802200000,-122.410896000,Success
ZFr9jZd7AA,The Catalyst-CA,,95060,Santa Cruz,CA,37.041199000,-122.124001000,Success
KovZpZA6ta1A,Shoreline Amphitheatre,,94043,Mountain View,CA,37.42671800,-122.08072200,Success
KovZpaKoXe,Fox Theater - Oakland,,94612,Oakland,CA,37.80771760,-122.27005970,Success
Z7r9jZadDV,Felton Music Hall,,95018,Felton,CA,37.080200000,-122.052200000,Success
ZFr9jZdv6A,Yoshi's Oakland,,94621,Oakland,CA,37.737099000,-122.206497000,Success
KovZpZAknnIA,The New Parish,,94612,Oakland,CA,37.80775200,-122.27269900,Success
KovZpZAatdJA,Henry J. Kaiser Center for the Arts,,94607,Oakland,CA,37.79669160,-122.26040720,Success
rZ7HnEZ17f6J4,Crybaby,,94612,Oakland,CA,37.80857,-122.26962,Success
KovZpZAFkIlA,Paramount Theatre Oakland,,94612,Oakland,CA,37.80986600,-122.26858600,Success
