lastfm_listeners,lastfm_playcount,lastfm_tag_1,primary_artist_name
"303,549","3,960,368",teen Pop,AJ Mitchell
"88,691","907,977",noise,Aja
"1,184,506","52,036,525",indie Pop,AJR
"20,431","186,769",funk,Akeem Ali
"89,820","1,614,176",japanese,AKI
"842,654","69,514,511",ambient,Akira Yamaoka
"17,344","100,963",Electroclash,akira2k
"3,611,006","58,763,301",RnB,Akon
162,518,,Al (He's the King) Hirt
"146,907","891,712",RnB,Al B. Sure!
14,44,,Al Brown's Tunetoppers
328,"1,686",,Al Caiola
"11,000","52,645",Surf,Al Casey
"4,038","9,871",rockabilly,Al Casey Combo
"47,918","297,768",Pop,Al Corley
"5,233","20,568",drjazzmrfunkmusic,Al DeLory
"301,128","4,688,790",jazz,Al Di Meola
"3,889","10,713",rockabilly,Al Downing
"2,217,317","36,672,178",soul,Al Green
17,76,,Al Greene
"297,955","1,380,405",jazz,Al Hirt
"2,804","41,382",Pop,Al Jardine
"402,497","4,197,527",jazz,Al Jarreau
"12,004","48,968",soul,Al Kent
"234,040","1,151,271",swing,Al Martino
"464,291","5,171,535",singer-songwriter,Al Stewart
"138,448","729,575",soul,Al Wilson
"563,331","7,198,880",Country,Alabama
"319,050","4,570,129",alternative,Alabama 3
"1,041,503","24,887,255",blues,Alabama Shakes
"265,681","3,111,150",Pop,Alaina Castillo
"15,547","194,994",rock,Alan Doyle
"1,048,891","18,487,428",Country,Alan Jackson
"643,079","10,276,450",Soundtrack,Alan Menken
"23,450","91,629",Pop,Alan O'Day
"102,423","1,403,267",Progressive rock,Alan Parsons
"5,660","53,165",rock,Alan Price Set
"824,127","13,360,107",Soundtrack,Alan Silvestri
"1,681,154","44,582,320",Electronic,Alan Walker
"42,537","401,093",singer-songwriter,Alana Davis
"2,747,869","78,768,570",female vocalists,Alanis Morissette
"562,110","4,181,831",rock,Alannah Myles
"98,784","1,334,823",Drum and bass,ALASKA
66,135,,Alaska 5000
"13,928","131,191",blues,Albert Castiglia
"76,182","622,251",blues rock,Albert Cummings
"463,706","3,388,523",70s,Albert Hammond
"586,086","6,066,965",blues,Albert King
"22,898","167,914",Country,Albert Lee
"89,481","723,040",hard rock,Aldo Nova
"1,305,266","50,468,081",Pop,Alec Benjamin
"121,702","1,334,728",singer-songwriter,Alejandro Escovedo
"333,719","5,948,124",latin,Alejandro Fernández
"662,795","14,187,791",spanish,Alejandro Sanz
"478,846","7,925,788",Norway,Alek Olsen
"292,581","3,385,098",Pop,Aleks Syntek
"80,335","2,373,199",Hip-Hop,Aleman
,,,Aleman X Neton Vega
"253,458","2,054,499",Soundtrack,Alessandro Alessandroni
"9,317","65,316",80s,Alessi
"1,663,755","35,593,507",Pop,Alessia Cara
"1,387,885","22,549,763",House,Alesso
47,272,,Alesso / Katy Perry
"8,066","75,442",,Aleta
"351,634","3,640,451",Pop,Alex
"5,339","39,875",soul,Alex Brown
"55,433","455,779",Smooth Jazz,Alex Bugnon
"765,100","10,890,444",dubstep,Alex Clare
"49,491","385,591",latin,Alex Cuba
"1,951,584","233,740,610",Lo-Fi,Alex G
"64,648","822,157",Canadian,Alex Sampson
"37,803","349,512",soul,Alex Serra
"240,003","3,374,956",spanish,Alex Ubago
"819,526","22,524,082",Pop,Alex Warren
34,157,,Alex Warren With Jelly Roll
,,,Alex WarrenWithJelly Roll
"558,940","8,265,073",Pop,Alexander 23
"2,681","8,863",,Alexander Merlin
"14,341","110,962",,Alexander Nate
"189,105","1,737,276",soul,Alexander O'Neal
"243,660","5,245,407",Canadian,Alexander Stewart
"532,520","13,095,203",indie Pop,Alexandra Savior
"1,237,348","12,189,677",Pop,Alexandra Stan
"1,140,659","33,317,762",Soundtrack,Alexandre Desplat
"2,767","19,920",piano,Alexandre Kantorow
"6,800","120,672",Canadian,Alexandre Poulin
"47,474","867,671",dark ambient,Alexey Omelchuk
"128,060","938,641",indie rock,ALEXSUCKS
"13,629","70,367",RnB,Alfonzo Hunter
"232,983","9,588,492",emo,Algernon Cadwallader
"558,915","7,878,949",RnB,Ali Gatie
"2,113","10,658",Pop,Ali Thomson
"164,897","2,268,543",Hip-Hop,Alias
"188,540","1,661,154",swedish,Alice Boman
"2,093,711","49,744,831",hard rock,Alice Cooper
"1,037,846","8,520,146",dance,Alice Deejay
"3,329,439","205,907,731",Grunge,Alice In Chains
"425,985","5,500,874",Pop,Alice Merton
"920,853","23,417,263",singer-songwriter,Alice Phoebe Lou
"217,341","1,753,935",soul,Alice Smith
"1,209","3,667",spanish,Alice Wonder Land
"138,519","639,045",Disco,Alicia Bridges
"4,086,537","98,885,882",soul,Alicia Keys
,,,Alicia Moffett
"54,160","385,430",latin,Alicia Villarreal
"2,392","22,787",female vocalists,Alicia Witt
"1,618,654","21,259,721",alternative rock,Alien Ant Farm
"91,845","1,501,463",instrumental,Alisa Okehazama
"11,183","70,977",cello,Alisa Weilerstein
"4,497","76,994",Country,Alisan Porter
"46,203","301,258",freestyle,Alisha
"27,446","1,201,400",bluegrass,Alison Brown
"4,486","13,041",progressive black metal,Alison Gold
"566,712","6,729,049",bluegrass,Alison Krauss
33,226,,Alison Krauss + Union Station
"391,619","3,961,015",female vocalists,Alison Moyet
"305,337","5,613,200",tRap,Alison Wonderland
"20,783","133,337",post-hardcore,Alive
"8,108","39,941",american,Alive 'N Kickin'
2,44,,ALL (H)OURS
"12,881","84,800",Hip-Hop,All City
,,,All Good Now
"54,306","1,237,444",hardcore,All Out War
"836,745","9,538,356",Pop,All Saints
140,"2,286",AOR,All Sports Band
"6,654","45,332",Pop,All Star Tribute
"288,781","7,928,337",Stoner Rock,All Them Witches
"2,486,850","140,745,819",Pop Punk,All Time Low
,,,All You Need is George
"2,838","14,987",,All Your Friends
"331,852","1,791,051",RnB,All-4-One
"1,589","14,771",The Hollies,Allan Clarke
"66,128","341,530",comedy,Allan Sherman
,,,Allen Aucoin
"203,544","2,399,212",soul,Allen Stone
"45,435","788,769",EDM,ALLEYCVT
"821,031","38,873,131",SynthPop,Allie X
483,715,,Allison Amber Hage
1,9,,Allman Family Revival
930,"2,762",,Allure
15,119,,Almost Queen
"135,830","893,727",,ALO
"1,213,249","14,393,414",soul,Aloe Blacc
"1,177,510","24,019,916",Electronic,Alok
"36,359","394,927",indie,Alpha Rev
"5,405","25,881",techno,Alpha Team
"1,717,917","22,248,794",SynthPop,Alphaville
"181,572","1,949,124",celtic,Altan
"22,967","350,185",mongolian,Altan Urag
"1,141,970","45,027,544",alternative rock,Alter Bridge
"279,044","1,817,606",Electronic,Alter Ego
64,343,,Alter Egos
"2,297,475","116,488,291",indie,alt-J
"5,228","31,857",soul,Alton McClain
"111,596","904,787",comedy,Alvin
"15,879","55,475",7soul,Alvin Cash
"14,301","64,772",blues,Alvin Robinson
"1,082,575","21,205,915",Pop,Aly
"950,358","31,126,024",RnB,Amaarae
"28,087","207,370",Lo-Fi,Amanda
"11,581","112,699",rock,Amanda Brown
"154,531","1,451,986",female vocalists,Amanda Marshall
"92,226","526,617",RnB,Amanda Perez
,,,Amateur Night at The Apollo
"19,422","133,103",,Amazing Rhythm Aces
"24,845","110,108",80s,Amazulu
445,753,,Amb1shn
"285,682","2,142,570",Post-Metal,Amber
"2,934","44,897",the voice,Amber Carrington
"505,976","9,237,618",soul,Amber Mark
"587,466","8,840,544",indie,Amber Run
"90,786","557,399",Hip-Hop,Ambjaay
"48,983","953,980",folk,Amble
"399,611","3,511,451",soft rock,Ambrosia
"2,508","11,009",Pop,A'me Lorain
"269,325","2,552,971",Neo-Soul,Amel Larrieux
"48,084","422,613",queer,Amelia Day
"2,012,269","36,359,242",classic rock,America
468,837,,America Allen
"47,978","1,072,298",Country,American Aquarium
"1,174,910","13,106,496",indie,American Authors
"4,427","16,859",experimental,American Composers Orchestra
224,"2,184",indie acoustic,American English
"44,908","132,107",soft rock,American Flyer
"626,288","7,819,871",Pop Punk,American Hi-Fi
13,144,,American Idiots
"1,731","8,813",American Idol,American Idol Finalists
10,45,,American Idol Finalists Season 4
181,"1,244",christian,American Idol Top 8
"6,564","31,130",opera,American Symphony Orchestra
"12,264","61,737",,american woman
