artist_name,artist_popularity,artist_followers,avg_track_popularity,total_tracks,explicit_ratio,avg_track_duration
Bazzi,66.0,5506553.0,69.25,4,0.75,2.6909
Bea Miller,62.0,3072874.0,51.0,1,0.0,3.5664333333333333
Beach Bunny,65.0,1856763.0,1.0,1,0.0,2.736083333333333
Beach House,72.0,2803036.0,64.0,5,0.0,5.185413333333334
Beach Weather,65.0,1005044.0,51.333333333333336,3,0.0,3.279733333333333
Bear McCreary,59.0,241463.0,29.523809523809526,21,0.0,3.3847642857142857
Beatline,20.0,475.0,39.0,1,0.0,2.512
Beau Young Prince,41.0,21939.0,59.0,1,0.0,2.9608833333333333
Bebe Rexha,75.0,9837715.0,58.4,5,0.0,2.8607
Becky G,74.0,16646605.0,70.66666666666667,3,0.0,3.4578555555555557
Becky Hill,68.0,925156.0,54.0,1,0.0,2.9771
Bedroom,52.0,316990.0,62.0,2,0.0,5.3873
Bee Gees,76.0,9347176.0,50.0,1,0.0,4.7344333333333335
Bella Poarch,60.0,1409523.0,62.0,1,0.0,2.9000333333333335
Ben Cocks,47.0,28254.0,64.0,1,0.0,3.7831
Ben E. King,65.0,711539.0,77.0,1,0.0,3.0009166666666665
Beneld,53.0,19010.0,53.666666666666664,6,0.0,2.9161055555555553
Benjamin Wallfisch,55.0,34214.0,44.0,1,0.0,3.1126666666666667
Benji,55.0,3650.0,57.0,1,0.0,3.7666666666666666
Benniee,16.0,104.0,18.0,1,0.0,2.64
Benny Benassi,63.0,608571.0,67.0,1,0.0,4.7595
Benson Boone,83.0,7045466.0,79.0,7,0.0,3.0182714285714285
Bernard Herrmann,49.0,85478.0,50.0,1,0.0,4.570666666666667
Besomage,50.0,12548.0,7.666666666666667,6,0.0,2.434225
Besomorph,58.0,146944.0,31.071428571428573,14,0.07142857142857142,2.621611904761905
Betoko,35.0,50222.0,0.0,1,0.0,8.137816666666666
Beyazz,53.0,185289.0,34.0,1,1.0,2.3079666666666667
Beyoncé,84.0,41172203.0,64.71428571428571,49,0.5102040816326531,3.964067346938776
Beyond The Guitar,35.0,24497.0,0.0,6,0.0,2.594688888888889
Big & Rich,56.0,1257253.0,69.0,1,0.0,3.338433333333333
Big Boss Vette,51.0,126108.0,45.0,1,1.0,2.334216666666667
Big Jude,8.0,13.0,24.0,1,1.0,1.7049333333333334
Big Red Machine,52.0,299845.0,66.0,1,1.0,4.2411
Big Sean,74.0,11542638.0,65.66666666666667,3,1.0,4.0391055555555555
Big Swapp,22.0,32.0,40.0,1,1.0,1.6969666666666667
BigXthaPlug,79.0,2059774.0,76.0,1,0.0,2.9873333333333334
Bikini Kill,47.0,612260.0,54.0,1,0.0,2.6222166666666666
Bill Brown,41.0,9779.0,34.666666666666664,6,0.0,2.1854
Bill Elm,39.0,3833.0,39.4,5,0.0,4.265639999999999
Bill Elm & Woody Jackson,0.0,4946.0,0.0,3,0.0,3.6482944444444443
Bill Withers,71.0,2005746.0,81.0,1,0.0,2.0848833333333334
Billie Eilish,90.0,118692183.0,73.88524590163935,61,0.09836065573770492,3.5017038251366124
Billie Marten,57.0,356342.0,50.5,2,0.0,4.16405
Billy Currington,65.0,2758888.0,51.0,2,0.0,3.4791083333333335
Billy Idol,71.0,2462227.0,63.5,2,0.0,3.94235
Billy Joel,78.0,7402824.0,81.66666666666667,3,0.0,4.192294444444445
Birdy,68.0,3737235.0,60.142857142857146,7,0.0,3.864609523809524
Bishop Briggs,61.0,963894.0,65.5,2,0.0,3.5408833333333334
Bizarrap,76.0,18188680.0,74.33333333333333,3,0.3333333333333333,3.345794444444444
Björk,66.0,2451894.0,17.333333333333332,3,0.0,4.721033333333334
Black Box Recorder,56.0,164398.0,66.0,1,0.0,4.137766666666667
Black Eyed Peas,81.0,9553224.0,44.470588235294116,17,0.29411764705882354,4.33066568627451
Black Lips,40.0,166440.0,29.0,1,0.0,2.1468833333333333
Black M,53.0,1995684.0,39.0,1,0.0,3.1408833333333335
Black Pistol Fire,48.0,234627.0,38.0,1,0.0,2.6213333333333333
Black Rebel Motorcycle Club,51.0,585934.0,55.0,1,0.0,3.779333333333333
Black Rob,48.0,243907.0,58.0,1,1.0,3.9806666666666666
Black Sabbath,75.0,9772591.0,27.333333333333332,3,0.0,3.832811111111111
Blackstreet,62.0,997137.0,78.0,1,0.0,5.076666666666667
Blake Neely,45.0,33375.0,0.0,1,0.0,3.0951
