artist_name,year,num_events,avg_ticket_price,unique_venues,unique_cities
Gates to Hell,2025.0,1,21.33,1,1
Gavin Adcock,2025.0,1,17.19,1,1
Gavin DeGraw & Colbie Caillat,2025.0,1,29.305,1,1
Gay Men's Chorus of Los Angeles,2025.0,2,19.545,1,1
Gentlemen's Club,2025.0,1,19.95,1,1
Gentri,2025.0,1,31.64,1,1
Gerald Albright,2025.0,1,41.175,1,1
Get the Led Out,2025.0,4,,3,3
Ghost-Note,2025.0,6,39.829166666666666,4,4
Ghostland Observatory,2025.0,1,29.305,1,1
Gillian Carter,2025.0,1,22.21,1,1
Gimme Gimme Disco,2025.0,2,19.387500000000003,2,2
Ginuwine,2025.0,2,88.77,2,2
Girls Love Karaoke,2025.0,2,53.665,2,2
Gitkin,2025.0,1,40.06,1,1
Gladys Knight,2025.0,1,53.665,1,1
Glare,2025.0,3,22.850000000000005,3,3
Glitterbox,2025.0,1,39.95,1,1
GloRilla,2025.0,1,35.980000000000004,1,1
Glokk40Spaz,2025.0,1,35.980000000000004,1,1
Goddamn Gallows,2025.0,1,23.63,1,1
GoldLink,2025.0,1,35.980000000000004,1,1
Golden Smog,2025.0,2,24.425,2,2
Goldfinger,2025.0,1,22.85,1,1
Gordon Goodwin's Big Phat Band,2025.0,1,41.175,1,1
Gorilla Biscuits,2025.0,1,48.04,1,1
Gospel Concert,2025.0,1,42.335,1,1
Gov't Mule,2025.0,3,29.304999999999996,3,2
Graham Barham,2025.0,1,17.19,1,1
Grant Knoche,2025.0,1,31.64,1,1
Great American Ghost,2025.0,3,26.92,3,3
Great Lake Swimmers,2025.0,2,24.425,2,2
Green Velvet,2025.0,1,31.64,1,1
Greggie and The Jets,2025.0,1,29.305,1,1
Gregory Porter,2025.0,2,25.52,2,2
Greyhaven,2025.0,2,26.2325,2,2
Guaco,2025.0,3,,3,3
Guapdad 4000,2025.0,4,36.67,1,1
Gucci Mane,2025.0,1,35.980000000000004,1,1
Gunna,2025.0,4,35.980000000000004,4,4
Guordan Banks,2025.0,1,53.665,1,1
Gwen Stefani,2025.0,1,29.305,1,1
HOLY PRIEST,2025.0,2,31.64,1,1
Hairbanger's Ball,2025.0,1,13.86,1,1
Hannah Frances,2025.0,1,0.0,1,1
Hannah Laing,2025.0,1,31.64,1,1
Har Mar Superstar,2025.0,1,29.305,1,1
Hardwired - A Tribute to Metallica,2025.0,2,27.51,2,2
Harlem Gospel Choir,2025.0,16,43.426874999999995,2,1
Harry Potter and the Sorcerer's Stone,2025.0,1,19.545,1,1
Hayla,2025.0,1,31.64,1,1
Hayride,2025.0,1,19.545,1,1
Heart,2025.0,5,29.305,5,5
Heavy Pets,2025.0,1,19.545,1,1
Henhouse Prowlers,2025.0,1,17.19,1,1
Herman's Hermits,2025.0,3,29.304999999999996,2,2
Hi Infidelity,2025.0,1,61.345,1,1
Highly Suspect,2025.0,4,29.305,4,4
Hillary Hahn,2025.0,1,40.61,1,1
Hillbilly Rockstarz,2025.0,1,42.825,1,1
Hobo Johnson,2025.0,1,19.545,1,1
Hobo Johnson & The Lovemakers,2025.0,1,35.980000000000004,1,1
Holiday Express,2025.0,1,19.545,1,1
Holiday Pops,2025.0,1,40.61,1,1
Home Alone in Concert,2025.0,6,19.545,3,3
Home Free,2025.0,2,19.545,2,2
Hoodoo Soul Band,2025.0,3,12.0,1,1
Hot 8 Brass Band,2025.0,5,24.94,2,1
Hot 99.5's Jingle Ball,2025.0,1,29.305,1,1
Hot In Herre: 2000s Dance Party,2025.0,2,31.64,2,2
Hot Mulligan,2025.0,2,29.305,1,1
House of Blues Gospel Brunch,2025.0,6,42.335,2,2
House of Heroes,2025.0,1,0.0,1,1
Hudson Westbrook,2025.0,1,17.19,1,1
Human Nature Christmas Motown,2025.0,4,29.305,1,1
Hunny,2025.0,1,19.545,1,1
I Love The 90's Tour,2025.0,1,31.64,1,1
I Love the 90s,2025.0,1,31.64,1,1
I Puritani,2025.0,1,19.545,1,1
ILLENIUM,2025.0,1,31.64,1,1
Ian Asher,2025.0,2,32.5625,2,2
Illusion Hills,2025.0,1,35.980000000000004,1,1
In The End,2025.0,1,29.305,1,1
Infected Mushroom,2025.0,1,34.95,1,1
Infekt,2025.0,1,24.895,1,1
Infinity,2025.0,1,161.28,1,1
Ingrid Michaelson,2025.0,1,29.305,1,1
Insane Clown Posse,2025.0,1,35.980000000000004,1,1
Irma Thomas,2025.0,1,57.269999999999996,1,1
Ishay Ribo,2025.0,1,19.545,1,1
Ivan Neville,2025.0,1,29.305,1,1
J.I.D,2025.0,4,35.980000000000004,3,3
JD McPherson,2025.0,3,19.536666666666665,3,3
JOHNNYSWIM,2025.0,1,29.305,1,1
JP Soars,2025.0,1,19.545,1,1
Jabbawockeez,2025.0,45,31.64,1,1
Jackie Greene,2025.0,2,9.8375,2,1
Jagged Edge,2025.0,3,53.665,3,2
Jai Wolf,2025.0,1,34.95,1,1
Jake Xerxes Fussell,2025.0,3,9.073333333333332,3,3
Jamal Roberts,2025.0,1,53.665,1,1
James and the Cold Gun,2025.0,1,29.305,1,1
Jamey Johnson,2025.0,1,17.19,1,1
Jane Monheit,2025.0,12,49.287499999999994,3,3
Janet Jackson,2025.0,2,31.64,2,2
Jason Narducy,2025.0,1,0.0,1,1
Jay Dupuis,2025.0,1,,1,1
Jay Siegel & the Tokens,2025.0,1,53.665,1,1
Jay Som,2025.0,2,29.305,2,2
Jazz & Blues Showcase,2025.0,1,66.15,1,1
Jeezy,2025.0,4,35.980000000000004,1,1
Jeff Crosby,2025.0,1,22.3,1,1
Jeff Harnar,2025.0,1,40.61,1,1
Jefferson Starship,2025.0,1,31.64,1,1
Jeffrey Foucault,2025.0,1,37.22,1,1
Jeffrey Gaines,2025.0,1,22.85,1,1
Jeffrey Martin,2025.0,1,19.545,1,1
Jennifer Lopez,2025.0,2,,1,1
Jens Lekman,2025.0,1,31.64,1,1
Jeremy’s Ten,2025.0,1,,1,1
Jerro,2025.0,1,19.545,1,1
Jerry's Middle Finger,2025.0,3,19.545,2,2
Jesse & Joy,2025.0,1,,1,1
Jesse Malin,2025.0,2,29.305,1,1
Jessica Lynn,2025.0,1,17.19,1,1
Jessie's Girl,2025.0,1,60.39,1,1
Jim Brickman,2025.0,5,31.639999999999997,5,5
Jim Jones,2025.0,1,19.545,1,1
Jimmie's Chicken Shack,2025.0,1,19.545,1,1
Jimmy Sturr,2025.0,1,37.2775,1,1
Joe Jordan,2025.0,2,29.305,2,1
Joe Nichols,2025.0,1,17.19,1,1
Joe Sib,2025.0,1,57.15,1,1
John Berry,2025.0,1,19.545,1,1
John Cafferty,2025.0,1,29.305,1,1
John Craigie,2025.0,2,19.545,1,1
John Easdale,2025.0,1,29.305,1,1
John Legend,2025.0,1,53.665,1,1
John Michael Montgomery,2025.0,1,17.19,1,1
John Morgan,2025.0,7,17.19,3,3
John Nemeth,2025.0,1,24.13,1,1
John Sebastian,2025.0,1,17.19,1,1
John Vincent III,2025.0,1,0.13,1,1
Jon Batiste,2025.0,1,31.64,1,1
Jon Cleary,2025.0,4,41.3,1,1
Jon Cleary & the Absolute Monster Gentlemen,2025.0,1,50.48,1,1
Jon Langford,2025.0,1,28.25,1,1
Jon McLaughlin,2025.0,3,35.87833333333333,3,3
Jon Pardi,2025.0,3,17.19,2,2
Jonas Brothers,2025.0,8,29.88875,8,8
Jonathan Richman,2025.0,1,0.0,1,1
Jones RX,2025.0,1,31.64,1,1
Jorma Kaukonen,2025.0,1,29.305,1,1
Jose James,2025.0,1,41.175,1,1
Josey Scott,2025.0,1,29.305,1,1
Josh Wolf,2025.0,3,19.545,1,1
Journey USA,2025.0,2,29.305,1,1
Judas Priestess,2025.0,1,27.51,1,1
Judith Owen,2025.0,1,29.305,1,1
Judy Collins,2025.0,1,29.305,1,1
Julia Cole,2025.0,1,17.19,1,1
Jungle Bells,2025.0,2,31.64,1,1
KARD,2025.0,3,31.64,3,3
KATSEYE,2025.0,2,31.64,2,2
KC & the Sunshine Band,2025.0,1,29.305,1,1
KPR Big Band Christmas,2025.0,1,,1,1
KPop Club Night,2025.0,1,31.64,1,1
Kandace Springs,2025.0,2,53.665,1,1
Kansas,2025.0,1,29.305,1,1
Karaoke Time Machines,2025.0,1,29.305,1,1
Karl Denson's Tiny Universe,2025.0,2,29.305,2,2
Kashmir,2025.0,1,,1,1
Kawaii Rave,2025.0,1,31.64,1,1
