artist_name,secondary_market_events,avg_secondary_price,avg_price_volatility,avg_price_range,avg_active_listings,avg_daily_price_change,high_demand_rate,high_volatility_rate,premium_pricing_rate,avg_price_observations,artist_name_std
Edmonton Oilers at Toronto Maple Leafs,1,178.43,0.233095504299981,175.29,,39.26931034482757,0.0,1.0,1.0,120.0,edmonton oilers at toronto maple leafs
Elf The Musical,2,71.5625,0.2628349687028143,82.84,728.0,18.421551724137935,0.5,1.0,0.5,120.0,elf the musical
Ella Langley,1,76.56,0.0751098312582115,9.960000000000008,,9.960000000000008,0.0,0.0,0.0,4.0,ella langley
Engelbert Humperdinck,2,73.7025,0.15649929894664133,42.25,566.0,10.57603448275862,1.0,0.0,0.0,120.0,engelbert humperdinck
Eric Benet,2,84.195,0.13856581285112046,36.845,423.5,5.154137931034482,0.5,0.0,0.5,120.0,eric benet
Erykah Badu,2,101.1525,0.2093637954607352,78.75999999999999,331.5,13.337241379310345,0.5,0.5,1.0,120.0,erykah badu
Evanescence,36,77.59152777777778,0.24296162117981154,51.21083333333334,306.27272727272725,20.028967592592593,0.1111111111111111,0.6666666666666666,0.4166666666666667,11.666666666666666,evanescence
FC Barcelona vs Eintracht Frankfurt - European Cup,1,196.715,0.4918962435284645,396.04,116.0,50.80793103448276,0.0,1.0,1.0,120.0,fc barcelona vs eintracht frankfurt - european cup
FC St. Pauli vs RB Leipzig,1,41.945,0.3172546242455312,41.13,9.0,8.225999999999999,0.0,1.0,0.0,12.0,fc st. pauli vs rb leipzig
FKA Twigs,7,86.10928571428572,0.10649730851163046,27.892857142857142,242.4,12.17302380952381,0.14285714285714285,0.2857142857142857,0.8571428571428571,10.857142857142858,fka twigs
Florida Panthers at Colorado Avalanche,1,56.715,0.3211350744896059,76.5,,12.68413793103448,0.0,1.0,0.0,120.0,florida panthers at colorado avalanche
Florida Panthers at Dallas Stars,1,59.900000000000006,0.3681355323080993,117.6,,13.019655172413795,0.0,1.0,0.0,120.0,florida panthers at dallas stars
Florida Panthers at Utah Mammoth,1,44.02,0.2273599874808407,52.400000000000006,,8.67,0.0,1.0,0.0,120.0,florida panthers at utah mammoth
Florida Strawberry Festival with Lauren Daigle,1,124.625,0.0706486788777676,15.25,83.0,15.25,0.0,0.0,1.0,4.0,florida strawberry festival with lauren daigle
Foreigner,3,86.01166666666667,0.11696336069986835,27.27333333333334,400.0,11.713931034482762,0.6666666666666666,0.0,0.3333333333333333,48.0,foreigner
Foreigner and Lou Gramm,1,74.6,0.2669310139115493,89.27999999999999,387.0,16.64448275862069,1.0,1.0,0.0,120.0,foreigner and lou gramm
Fran Lebowitz,1,165.87,0.6969907990978412,486.79,5.0,68.20689655172414,0.0,1.0,1.0,120.0,fran lebowitz
"Fresh Start Festival with John Summit, Purple Disco Machine, Layton Giordani and many more",1,115.5,0.0095184746109145,3.299999999999997,216.0,1.4400000000000006,1.0,0.0,1.0,12.0,"fresh start festival with john summit, purple disco machine, layton giordani and many more"
Gabby's Dollhouse Live!,1,56.025000000000006,0.4534625895031806,155.72,495.0,18.69275862068966,1.0,1.0,0.0,120.0,gabby's dollhouse live!
Gary Allan,2,80.72,0.1342373372914009,25.894999999999996,462.0,13.819999999999997,0.5,0.0,0.5,8.0,gary allan
Gary Owen,9,58.31,0.0,0.0,290.125,0.0,0.5555555555555556,0.0,0.0,2.0,gary owen
Gavin Adcock,1,88.97999999999999,0.1542540194889177,64.28,54.0,12.203448275862067,0.0,0.0,1.0,120.0,gavin adcock
GenX Takeover Comedy Tour,1,78.46,0.1662858814514602,33.16,682.0,22.5575,1.0,0.0,1.0,10.0,genx takeover comedy tour
Golden Smog,1,99.0,0.1244164907271605,33.72,114.0,18.683333333333326,0.0,0.0,1.0,42.0,golden smog
Goose - 2 Day Ticket,1,206.85,0.1458848175969174,125.1,103.0,15.1348,0.0,0.0,1.0,104.0,goose - 2 day ticket
Gorgon City,1,63.05,0.022741627095531,3.649999999999999,24.0,0.7339999999999989,0.0,0.0,0.0,12.0,gorgon city
Gunna,3,139.47833333333332,0.2804335837224106,143.04,133.33333333333334,27.35220689655172,0.0,1.0,1.0,84.0,gunna
Gwinnett Ballet Theatre's The Nutcracker 2025,1,54.21,0.0283563101002592,3.1299999999999955,214.0,1.6749999999999972,1.0,0.0,0.0,6.0,gwinnett ballet theatre's the nutcracker 2025
Hamilton,8,179.82625000000002,0.21884417923748134,185.745,460.125,38.58288793103448,1.0,0.5,1.0,120.0,hamilton
Harry Potter and the Cursed Child,9,153.78222222222223,0.322339501500771,253.4322222222222,353.8888888888889,39.21544061302682,0.8888888888888888,0.6666666666666666,0.6666666666666666,120.0,harry potter and the cursed child
Hasan Minhaj and Ronny Chieng,2,72.7975,0.2287233650934779,77.56,141.0,12.73637931034483,0.5,0.5,0.5,120.0,hasan minhaj and ronny chieng
Hayla,1,32.93,0.2216086366205964,43.24999999999999,19.0,2.80551724137931,0.0,1.0,0.0,120.0,hayla
Heart,2,83.1175,0.18889095030100925,74.115,498.0,11.611551724137929,0.5,0.5,1.0,120.0,heart
Hilary Duff,1,503.01,0.0218549241843856,27.269999999999985,22.0,12.926666666666655,0.0,0.0,1.0,8.0,hilary duff
Ice Nine Kills,1,41.835,0.2654957636442809,60.8,85.0,12.243793103448278,0.0,1.0,0.0,120.0,ice nine kills
Il Volo,1,82.38499999999999,0.1493451062754181,50.85,14.0,12.732413793103444,0.0,0.0,1.0,120.0,il volo
