lastfm_listeners,lastfm_playcount,lastfm_tag_1,primary_artist_name,plays_per_listener,artist_name_std
4023.0,35086.0,blues,Angela Aguilar,8.72135222470793,angela aguilar
25038.0,231748.0,heavy metal,Angelica,9.255851106318396,angelica
42078.0,309416.0,freestyle,Angelina,7.35339132088027,angelina
968844.0,40307612.0,alternative rock,Angels,41.6038206357267,angels
206681.0,8188941.0,hardcore,Angerfist,39.62116014534476,angerfist
66.0,256.0,Unknown,Angie Martinez,3.878787878787879,angie martinez
1.0,5.0,Unknown,Angie Pontani,5.0,angie pontani
579137.0,5681374.0,soul,Angie Stone,9.810069120087302,angie stone
114727.0,1947832.0,punk,Angry Samoans,16.977973798669886,angry samoans
1633673.0,45781596.0,folk,Angus,28.02372078133139,angus
248425.0,1407620.0,new wave,Animotion,5.666176914561739,animotion
227.0,1054.0,Pop,Anita,4.643171806167401,anita
531019.0,5532360.0,soul,Anita Baker,10.418384276268833,anita baker
14970.0,4152255.0,Pop,Anita Bryant,277.37174348697397,anita bryant
,,Unknown,Anita Cochran (Duet With Steve Wariner),,anita cochran (duet with steve wariner)
333979.0,1529256.0,Disco,Anita Ward,4.578898673269876,anita ward
1144681.0,144130005.0,Pop,Anitta,125.9128132641321,anitta
8496.0,41721.0,female vocalists,Ann Cole,4.91066384180791,ann cole
70793.0,389805.0,jazz,Ann Hampton Callaway,5.506264743689348,ann hampton callaway
428920.0,3506540.0,soul,Ann Peebles,8.175277441014641,ann peebles
31970.0,197692.0,rock,Ann Wilson,6.183672192680638,ann wilson
305470.0,5693263.0,female vocalists,Anna Calvi,18.63771565129145,anna calvi
654256.0,6226007.0,Pop,Anna Kendrick,9.516163397813699,anna kendrick
9731.0,41078.0,soul,Anna King,4.221354434282191,anna king
3.0,4.0,Unknown,Anna King-Bobby Byrd,1.3333333333333333,anna king-bobby byrd
5545.0,28186.0,Unknown,Anna Marx,5.083137962128044,anna marx
749297.0,9470276.0,female vocalists,Anna Nalick,12.638881511603543,anna nalick
604477.0,7307921.0,Pop,Anna of the North,12.089659325334132,anna of the north
240995.0,5946993.0,swedish,Anna Von Hausswolff,24.676831469532562,anna von hausswolff
15624.0,42150.0,Unknown,Annalise Azadian,2.6977726574500767,annalise azadian
11816.0,111243.0,Soundtrack,AnnaSophia Robb,9.414607312119161,annasophia robb
183069.0,1274259.0,Soundtrack,Anne Hathaway,6.960539468724907,anne hathaway
3539.0,21281.0,folk,Anne Hills,6.013280587736649,anne hills
255942.0,2613203.0,Country,Anne Murray,10.2101374530167,anne murray
43049.0,588055.0,christian,Anne Wilson,13.660131478083114,anne wilson
1141474.0,19934448.0,Pop,Anne-Marie,17.463777536763867,anne-marie
6468.0,36112.0,Unknown,AnnenMayKantereit,5.583178726035869,annenmaykantereit
12425.0,46977.0,acid house,Annette,3.780845070422535,annette
257.0,762.0,Unknown,Annette With The Afterbeats,2.964980544747082,annette with the afterbeats
1313080.0,16380897.0,Pop,Annie Lennox,12.475170591281566,annie lennox
57091.0,353474.0,female vocalists,Ann-Margret,6.191413707939955,ann-margret
218011.0,4762753.0,Electronic,ANOHNI,21.846388484984704,anohni
21175.0,111190.0,Rap,Another Bad Creation,5.251003541912633,another bad creation
3.0,36.0,thrash metal,Another Shade of Hate,12.0,another shade of hate
657762.0,17328419.0,Unknown,ANRI,26.344512148771138,anri
425202.0,10543854.0,Pop,Anson Seabra,24.79728223291518,anson seabra
68.0,305.0,Unknown,Anson Williams,4.485294117647059,anson williams
,,Unknown,Ant Clemons,,ant clemons
232616.0,1618347.0,RnB,Ant Saunders,6.957161158303814,ant saunders
87961.0,2345273.0,power Pop,Antarctigo Vespucci,26.66264594536215,antarctigo vespucci
