city,year,week,num_events,temperature_avg_week,precipitation_total_week
Stockton,2025,51,1,,
Stone Park,2025,51,1,,
Stone Park,2025,52,1,,
Stoughton,2025,50,1,,
Sumterville,2025,51,1,,
Syracuse,2025,1,2,,
Syracuse,2025,15,1,,
Syracuse,2025,49,5,,
Syracuse,2025,50,13,,
Syracuse,2025,51,9,,
Syracuse,2025,52,11,,
Tampa,2025,49,1,,
Tampa,2025,50,8,,
Tampa,2025,51,7,,
Tampa,2025,52,1,,
Tarrytown,2025,51,1,,
Thackerville,2025,50,1,,
Thackerville,2025,52,2,,
Thousand Oaks,2025,1,1,,
Thousand Oaks,2025,50,1,,
Topeka,2025,52,1,,
Tulsa,2025,50,3,,
Tulsa,2025,51,1,,
Tuscaloosa,2025,50,2,,
Tysons,2025,50,3,,
Tysons,2025,51,2,,
Tysons,2025,52,1,,
Ventura,2025,50,3,,
Ventura,2025,51,1,,
Verona,2025,51,2,,
Virginia Beach,2025,49,1,,
Virginia Beach,2025,50,7,,
Virginia Beach,2025,51,5,,
Virginia Beach,2025,52,4,,
Wantagh,2025,50,3,,
Wantagh,2025,51,3,,
Wantagh,2025,52,2,,
Warren,2025,49,2,,
Washington,2025,1,6,,
Washington,2025,49,7,,
Washington,2025,50,26,,
Washington,2025,51,27,,
Washington,2025,52,15,,
Waterloo,2025,49,1,,
Waterloo,2025,50,1,,
Waterloo,2025,51,1,,
Waukegan,2025,49,1,,
Waukegan,2025,50,4,,
Waukegan,2025,51,1,,
Waukegan,2025,52,1,,
West Chester,2025,49,1,,
West Chester,2025,50,2,,
West Hollywood,2025,1,3,,
West Hollywood,2025,49,2,,
West Hollywood,2025,50,13,,
West Hollywood,2025,51,11,,
West Hollywood,2025,52,4,,
West Lafayette,2025,49,3,,
West Lafayette,2025,50,1,,
West Nyack,2025,52,5,,
Westland,2025,49,1,,
Westland,2025,50,2,,
Westland,2025,51,1,,
Westland,2025,52,3,,
Wheatland,2025,50,1,,
Wheatland,2025,51,1,,
Wheatland,2025,52,1,,
White Plains,2025,51,1,,
Wichita,2025,50,1,,
Wilkes Barre,2025,1,1,,
Wilkes Barre,2025,50,1,,
Wilkes Barre,2025,52,1,,
Williamsport,2025,50,1,,
Wilmington,2025,50,1,,
Winston Salem,2025,51,1,,
Winter Park,2025,50,7,,
Winter Park,2025,51,6,,
Winter Park,2025,52,4,,
Worcester,2025,1,1,,
Worcester,2025,49,1,,
Worcester,2025,50,1,,
Worcester,2025,51,2,,
Worcester,2025,52,2,,
Wyandotte,2025,50,1,,
Wyandotte,2025,51,1,,
