event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show,num_years_active,year,month,dayofweek,avg_price,price_range,is_sold_out,tickets_per_posting,artist_std,event_datetime,date_only,hour,day_of_week,is_weekend,temperature,precipitation,weather_condition
9540404,2016-05-07 01:00:00,Anderson Ponty Band,Majestic Theatre Dallas,156.36,176.96,2,11,Dallas,TX,Prekindle,NoPriceClass,0,96158,54,,2016,5,5,166.66000000000005,20.599999999999994,0,5.5,anderson ponty band,2016-05-07 01:00:00,2016-05-07,1,5,1,,,
9505809,2016-03-16 00:30:00,Andra Day,Lincoln Hall Chicago,55.99,43.0,1,3,Chicago,IL,NoVendorClass,NoPriceClass,NoSoldOutClass,5954334,2,,2016,3,2,49.495000000000005,-12.990000000000002,0,3.0,andra day,2016-03-16 00:30:00,2016-03-16,0,2,0,,,
9502391,2016-03-31 03:00:00,Andra Day,El Rey Theatre (LA),72.11,199.01,18,85,Los Angeles,CA,Songkick Tickets,$27.75 ,0,5954334,17,4.0,2016,3,3,135.56,126.9,0,4.722222222222222,andra day,2016-03-31 03:00:00,2016-03-31,3,3,0,,,
9501770,2016-03-26 00:00:00,Andra Day,Webster Hall,38.88,299.0,38,147,New York,NY,Songkick Tickets,$27.19 ,0,5954334,12,4.0,2016,3,5,168.94,260.12,0,3.8684210526315783,andra day,2016-03-26 00:00:00,2016-03-26,0,5,1,,,
9528964,2016-04-02 04:00:00,Andre Nickatina,The Novo by Microsoft,33.18,75.0,5,32,Los Angeles,CA,AXS,$5.00 ,0,516897,19,24.0,2016,4,5,54.09,41.82,0,6.4,andre nickatina,2016-04-02 04:00:00,2016-04-02,4,5,1,,,
9509454,2016-03-14 03:00:00,Andrea Gibson,Fonda Theatre,72.43,59.28,2,8,Los Angeles,CA,AXS,$20.00 ,0,443755,0,16.0,2016,3,0,65.855,-13.150000000000006,0,4.0,andrea gibson,2016-03-14 03:00:00,2016-03-14,3,0,0,,,
9465188,2016-04-03 00:00:00,Andrew Bird,The Tabernacle Atlanta,66.22,229.0,20,85,Atlanta,GA,Live Nation,NoPriceClass,0,395944,20,,2016,4,6,147.61,162.78,0,4.25,andrew bird,2016-04-03 00:00:00,2016-04-03,0,6,1,,,
9465193,2016-04-09 23:30:00,Andrew Bird,Wang Theatre at Boston,64.25,341.97,38,135,Boston,MA,Ticketmaster,$36.00 ,0,395944,27,20.0,2016,4,5,203.11,277.72,0,3.5526315789473686,andrew bird,2016-04-09 23:30:00,2016-04-09,23,5,1,,,
9524138,2016-05-15 04:00:00,Andrew Bird,The Theatre at Ace,85.1,170.0,11,29,Los Angeles,CA,AXS,$37.50 ,0,395944,62,20.0,2016,5,6,127.55,84.9,0,2.636363636363636,andrew bird,2016-05-15 04:00:00,2016-05-15,4,6,1,,,
9527345,2016-05-16 04:00:00,Andrew Bird,The Theatre at Ace,79.2,152.34,5,12,Los Angeles,CA,AXS,$37.50 ,0,395944,63,20.0,2016,5,0,115.77,73.14,0,2.4,andrew bird,2016-05-16 04:00:00,2016-05-16,4,0,0,,,
9466201,2016-03-31 00:30:00,Andrew Bird,Ryman Auditorium,46.16,212.75,64,186,Nashville,TN,Ticketmaster,$36.00 ,0,395944,17,20.0,2016,3,3,129.45499999999998,166.59,0,2.90625,andrew bird,2016-03-31 00:30:00,2016-03-31,0,3,0,,,
9465192,2016-04-08 23:00:00,Andrew Bird,Terminal 5,66.81,199.05,22,110,New York,NY,Ticketmaster,$41.00 ,0,395944,26,20.0,2016,4,4,132.93,132.24,0,5.0,andrew bird,2016-04-08 23:00:00,2016-04-08,23,4,0,,,
